emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
🌓,U+1F313,51451,U+1F313,🌓,first quarter moon,0.6,Travel & Places,sky & weather,fully-qualified
🍍,U+1F34D,51077,U+1F34D,🍍,pineapple,0.6,Food & Drink,food-fruit,fully-qualified
🆘,U+1F198,51023,U+1F198,🆘,SOS button,0.6,Symbols,alphanum,fully-qualified
🥘,U+1F958,51011,U+1F958,🥘,shallow pan of food,3.0,Food & Drink,food-prepared,fully-qualified
🎼,U+1F3BC,50587,U+1F3BC,🎼,musical score,0.6,Objects,music,fully-qualified
🤳,U+1F933,50479,U+1F933,🤳,selfie,3.0,People & Body,hand-prop,fully-qualified
🚂,U+1F682,50422,U+1F682,🚂,locomotive,1.0,Travel & Places,transport-ground,fully-qualified
🕰️,U+1F570 U+FE0F,50361,U+1F570 U+FE0F,🕰️,mantelpiece clock,0.7,Travel & Places,time,fully-qualified
👇🏼,U+1F447 U+1F3FC,50297,U+1F447 U+1F3FC,👇🏼,backhand index pointing down: medium-light skin tone,1.0,People & Body,hand-single-finger,fully-qualified
📎,U+1F4CE,50252,U+1F4CE,📎,paperclip,0.6,Objects,office,fully-qualified
🎅🏻,U+1F385 U+1F3FB,50240,U+1F385 U+1F3FB,🎅🏻,Santa Claus: light skin tone,1.0,People & Body,person-fantasy,fully-qualified
🤒,U+1F912,50215,U+1F912,🤒,face with thermometer,1.0,Smileys & Emotion,face-unwell,fully-qualified
🏞️,U+1F3DE U+FE0F,50100,U+1F3DE U+FE0F,🏞️,national park,0.7,Travel & Places,place-geographic,fully-qualified
🥦,U+1F966,49918,U+1F966,🥦,broccoli,5.0,Food & Drink,food-vegetable,fully-qualified
🪓,U+1FA93,49516,U+1FA93,🪓,axe,12.0,Objects,tool,fully-qualified
🥔,U+1F954,49509,U+1F954,🥔,potato,3.0,Food & Drink,food-vegetable,fully-qualified
🏕️,U+1F3D5 U+FE0F,49509,U+1F3D5 U+FE0F,🏕️,camping,0.7,Travel & Places,place-geographic,fully-qualified
🇸🇦,U+1F1F8 U+1F1E6,49326,U+1F1F8 U+1F1E6,🇸🇦,flag: Saudi Arabia,2.0,Flags,country-flag,fully-qualified
🐑,U+1F411,49153,U+1F411,🐑,ewe,0.6,Animals & Nature,animal-mammal,fully-qualified
🇫🇮,U+1F1EB U+1F1EE,49139,U+1F1EB U+1F1EE,🇫🇮,flag: Finland,2.0,Flags,country-flag,fully-qualified
📥,U+1F4E5,49086,U+1F4E5,📥,inbox tray,0.6,Objects,mail,fully-qualified
🐙,U+1F419,48991,U+1F419,🐙,octopus,0.6,Animals & Nature,animal-marine,fully-qualified
📨,U+1F4E8,48613,U+1F4E8,📨,incoming envelope,0.6,Objects,mail,fully-qualified
⛄,U+26C4,48521,U+26C4,⛄,snowman without snow,0.6,Travel & Places,sky & weather,fully-qualified
🥑,U+1F951,48397,U+1F951,🥑,avocado,3.0,Food & Drink,food-vegetable,fully-qualified
🖋️,U+1F58B U+FE0F,47792,U+1F58B U+FE0F,🖋️,fountain pen,0.7,Objects,writing,fully-qualified
🗞️,U+1F5DE U+FE0F,47750,U+1F5DE U+FE0F,🗞️,rolled-up newspaper,0.7,Objects,book-paper,fully-qualified
🌬️,U+1F32C U+FE0F,47693,U+1F32C U+FE0F,🌬️,wind face,0.7,Travel & Places,sky & weather,fully-qualified
🤝🏻,U+1F91D U+1F3FB,47465,U+1F91D U+1F3FB,🤝🏻,handshake: light skin tone,14.0,People & Body,hands,fully-qualified
😸,U+1F638,47456,U+1F638,😸,grinning cat with smiling eyes,0.6,Smileys & Emotion,cat-face,fully-qualified
🧾,U+1F9FE,47395,U+1F9FE,🧾,receipt,11.0,Objects,money,fully-qualified
❎,U+274E,47257,U+274E,❎,cross mark button,0.6,Symbols,other-symbol,fully-qualified
📑,U+1F4D1,47169,U+1F4D1,📑,bookmark tabs,0.6,Objects,book-paper,fully-qualified
🛞,U+1F6DE,47122,U+1F6DE,🛞,wheel,14.0,Travel & Places,transport-ground,fully-qualified
🧺,U+1F9FA,47110,U+1F9FA,🧺,basket,11.0,Objects,household,fully-qualified
🛐,U+1F6D0,47092,U+1F6D0,🛐,place of worship,1.0,Symbols,religion,fully-qualified
🙏🏾,U+1F64F U+1F3FE,47087,U+1F64F U+1F3FE,🙏🏾,folded hands: medium-dark skin tone,1.0,People & Body,hands,fully-qualified
🚶,U+1F6B6,47053,U+1F6B6,🚶,person walking,0.6,People & Body,person-activity,fully-qualified
🥋,U+1F94B,46924,U+1F94B,🥋,martial arts uniform,3.0,Activities,sport,fully-qualified
🦢,U+1F9A2,46885,U+1F9A2,🦢,swan,11.0,Animals & Nature,animal-bird,fully-qualified
💶,U+1F4B6,46864,U+1F4B6,💶,euro banknote,1.0,Objects,money,fully-qualified
🤰,U+1F930,46855,U+1F930,🤰,pregnant woman,3.0,People & Body,person-role,fully-qualified
🇿🇦,U+1F1FF U+1F1E6,46847,U+1F1FF U+1F1E6,🇿🇦,flag: South Africa,2.0,Flags,country-flag,fully-qualified
♟️,U+265F U+FE0F,46823,U+265F U+FE0F,♟️,chess pawn,11.0,Activities,game,fully-qualified
🧃,U+1F9C3,46818,U+1F9C3,🧃,beverage box,12.0,Food & Drink,drink,fully-qualified
🤕,U+1F915,46791,U+1F915,🤕,face with head-bandage,1.0,Smileys & Emotion,face-unwell,fully-qualified
⛓️‍💥,U+26D3 U+FE0F U+200D U+1F4A5,46715,U+26D3 U+FE0F U+200D U+1F4A5,⛓️‍💥,broken chain,15.1,Objects,tool,fully-qualified
🥾,U+1F97E,46644,U+1F97E,🥾,hiking boot,11.0,Objects,clothing,fully-qualified
🥬,U+1F96C,46639,U+1F96C,🥬,leafy green,11.0,Food & Drink,food-vegetable,fully-qualified
👦,U+1F466,46482,U+1F466,👦,boy,0.6,People & Body,person,fully-qualified
👔,U+1F454,46457,U+1F454,👔,necktie,0.6,Objects,clothing,fully-qualified
💾,U+1F4BE,46423,U+1F4BE,💾,floppy disk,0.6,Objects,computer,fully-qualified
🙇,U+1F647,46216,U+1F647,🙇,person bowing,0.6,People & Body,person-gesture,fully-qualified
⏲️,U+23F2 U+FE0F,46144,U+23F2 U+FE0F,⏲️,timer clock,1.0,Travel & Places,time,fully-qualified
🏒,U+1F3D2,45994,U+1F3D2,🏒,ice hockey,1.0,Activities,sport,fully-qualified
😪,U+1F62A,45739,U+1F62A,😪,sleepy face,0.6,Smileys & Emotion,face-sleepy,fully-qualified
🥖,U+1F956,45723,U+1F956,🥖,baguette bread,3.0,Food & Drink,food-prepared,fully-qualified
🚿,U+1F6BF,45539,U+1F6BF,🚿,shower,1.0,Objects,household,fully-qualified
🧶,U+1F9F6,45438,U+1F9F6,🧶,yarn,11.0,Activities,arts & crafts,fully-qualified
🪈,U+1FA88,45376,U+1FA88,🪈,flute,15.0,Objects,musical-instrument,fully-qualified
📿,U+1F4FF,45207,U+1F4FF,📿,prayer beads,1.0,Objects,clothing,fully-qualified
🛣️,U+1F6E3 U+FE0F,45135,U+1F6E3 U+FE0F,🛣️,motorway,0.7,Travel & Places,transport-ground,fully-qualified
🏊,U+1F3CA,44718,U+1F3CA,🏊,person swimming,0.6,People & Body,person-sport,fully-qualified
🐞,U+1F41E,44707,U+1F41E,🐞,lady beetle,0.6,Animals & Nature,animal-bug,fully-qualified
🐋,U+1F40B,44692,U+1F40B,🐋,whale,1.0,Animals & Nature,animal-marine,fully-qualified
🗨️,U+1F5E8 U+FE0F,44656,U+1F5E8 U+FE0F,🗨️,left speech bubble,2.0,Smileys & Emotion,emotion,fully-qualified
🗝️,U+1F5DD U+FE0F,44626,U+1F5DD U+FE0F,🗝️,old key,0.7,Objects,lock,fully-qualified
🧍,U+1F9CD,44539,U+1F9CD,🧍,person standing,12.0,People & Body,person-activity,fully-qualified
☔,U+2614,44512,U+2614,☔,umbrella with rain drops,0.6,Travel & Places,sky & weather,fully-qualified
👩‍💻,U+1F469 U+200D U+1F4BB,44299,U+1F469 U+200D U+1F4BB,👩‍💻,woman technologist,4.0,People & Body,person-role,fully-qualified
🧘‍♀️,U+1F9D8 U+200D U+2640 U+FE0F,44160,U+1F9D8 U+200D U+2640 U+FE0F,🧘‍♀️,woman in lotus position,5.0,People & Body,person-resting,fully-qualified
🐆,U+1F406,44097,U+1F406,🐆,leopard,1.0,Animals & Nature,animal-mammal,fully-qualified
🚜,U+1F69C,44052,U+1F69C,🚜,tractor,1.0,Travel & Places,transport-ground,fully-qualified
🖱️,U+1F5B1 U+FE0F,44031,U+1F5B1 U+FE0F,🖱️,computer mouse,0.7,Objects,computer,fully-qualified
🐴,U+1F434,43986,U+1F434,🐴,horse face,0.6,Animals & Nature,animal-mammal,fully-qualified
🎪,U+1F3AA,43846,U+1F3AA,🎪,circus tent,0.6,Travel & Places,place-other,fully-qualified
🛬,U+1F6EC,43843,U+1F6EC,🛬,airplane arrival,1.0,Travel & Places,transport-air,fully-qualified
🇻🇦,U+1F1FB U+1F1E6,43831,U+1F1FB U+1F1E6,🇻🇦,flag: Vatican City,2.0,Flags,country-flag,fully-qualified
👍🏼,U+1F44D U+1F3FC,43771,U+1F44D U+1F3FC,👍🏼,thumbs up: medium-light skin tone,1.0,People & Body,hand-fingers-closed,fully-qualified
