emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
💅,U+1F485,13701,U+1F485,💅,nail polish,0.6,People & Body,hand-prop,fully-qualified
💷,U+1F4B7,13698,U+1F4B7,💷,pound banknote,1.0,Objects,money,fully-qualified
😮,U+1F62E,13607,U+1F62E,😮,face with open mouth,1.0,Smileys & Emotion,face-concerned,fully-qualified
🗺️,U+1F5FA U+FE0F,13562,U+1F5FA U+FE0F,🗺️,world map,0.7,Travel & Places,place-map,fully-qualified
🔫,U+1F52B,13514,U+1F52B,🔫,water pistol,0.6,Activities,game,fully-qualified
😌,U+1F60C,13341,U+1F60C,😌,relieved face,0.6,Smileys & Emotion,face-sleepy,fully-qualified
🍃,U+1F343,13330,U+1F343,🍃,leaf fluttering in wind,0.6,Animals & Nature,plant-other,fully-qualified
🎸,U+1F3B8,13273,U+1F3B8,🎸,guitar,0.6,Objects,musical-instrument,fully-qualified
🎬,U+1F3AC,13196,U+1F3AC,🎬,clapper board,0.6,Objects,light & video,fully-qualified
🍹,U+1F379,13107,U+1F379,🍹,tropical drink,0.6,Food & Drink,drink,fully-qualified
⏳,U+23F3,13054,U+23F3,⏳,hourglass not done,0.6,Travel & Places,time,fully-qualified
🏎️,U+1F3CE U+FE0F,12889,U+1F3CE U+FE0F,🏎️,racing car,0.7,Travel & Places,transport-ground,fully-qualified
🎊,U+1F38A,12862,U+1F38A,🎊,confetti ball,0.6,Activities,event,fully-qualified
🐝,U+1F41D,12715,U+1F41D,🐝,honeybee,0.6,Animals & Nature,animal-bug,fully-qualified
🐰,U+1F430,12688,U+1F430,🐰,rabbit face,0.6,Animals & Nature,animal-mammal,fully-qualified
🍔,U+1F354,12688,U+1F354,🍔,hamburger,0.6,Food & Drink,food-prepared,fully-qualified
💍,U+1F48D,12641,U+1F48D,💍,ring,0.6,Objects,clothing,fully-qualified
😴,U+1F634,12635,U+1F634,😴,sleeping face,1.0,Smileys & Emotion,face-sleepy,fully-qualified
❤️‍🩹,U+2764 U+FE0F U+200D U+1FA79,12568,U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹,mending heart,13.1,Smileys & Emotion,heart,fully-qualified
🍸,U+1F378,12409,U+1F378,🍸,cocktail glass,0.6,Food & Drink,drink,fully-qualified
☁️,U+2601 U+FE0F,12336,U+2601 U+FE0F,☁️,cloud,0.6,Travel & Places,sky & weather,fully-qualified
