emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
😡,U+1F621,80398,U+1F621,😡,enraged face,0.6,Smileys & Emotion,face-negative,fully-qualified
🫣,U+1FAE3,79926,U+1FAE3,🫣,face with peeking eye,14.0,Smileys & Emotion,face-hand,fully-qualified
🚗,U+1F697,79737,U+1F697,🚗,automobile,0.6,Travel & Places,transport-ground,fully-qualified
🤨,U+1F928,79679,U+1F928,🤨,face with raised eyebrow,5.0,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🏀,U+1F3C0,79057,U+1F3C0,🏀,basketball,0.6,Activities,sport,fully-qualified
🌱,U+1F331,77746,U+1F331,🌱,seedling,0.6,Animals & Nature,plant-other,fully-qualified
💦,U+1F4A6,77038,U+1F4A6,💦,sweat droplets,0.6,Smileys & Emotion,emotion,fully-qualified
🥂,U+1F942,76835,U+1F942,🥂,clinking glasses,3.0,Food & Drink,drink,fully-qualified
🎮,U+1F3AE,76680,U+1F3AE,🎮,video game,0.6,Activities,game,fully-qualified
🤪,U+1F92A,75533,U+1F92A,🤪,zany face,5.0,Smileys & Emotion,face-tongue,fully-qualified
✌️,U+270C U+FE0F,75274,U+270C U+FE0F,✌️,victory hand,0.6,People & Body,hand-fingers-partial,fully-qualified
🩵,U+1FA75,75130,U+1FA75,🩵,light blue heart,15.0,Smileys & Emotion,heart,fully-qualified
😄,U+1F604,74580,U+1F604,😄,grinning face with smiling eyes,0.6,Smileys & Emotion,face-smiling,fully-qualified
🗿,U+1F5FF,74421,U+1F5FF,🗿,moai,0.6,Objects,other-object,fully-qualified
🎤,U+1F3A4,73510,U+1F3A4,🎤,microphone,0.6,Objects,music,fully-qualified
🫠,U+1FAE0,73066,U+1FAE0,🫠,melting face,14.0,Smileys & Emotion,face-smiling,fully-qualified
🦅,U+1F985,71633,U+1F985,🦅,eagle,3.0,Animals & Nature,animal-bird,fully-qualified
💋,U+1F48B,71591,U+1F48B,💋,kiss mark,0.6,Smileys & Emotion,emotion,fully-qualified
🌴,U+1F334,71252,U+1F334,🌴,palm tree,0.6,Animals & Nature,plant-other,fully-qualified
🎯,U+1F3AF,70945,U+1F3AF,🎯,bullseye,0.6,Activities,game,fully-qualified
🤡,U+1F921,69947,U+1F921,🤡,clown face,3.0,Smileys & Emotion,face-costume,fully-qualified
🌞,U+1F31E,69788,U+1F31E,🌞,sun with face,1.0,Travel & Places,sky & weather,fully-qualified
❤️‍🔥,U+2764 U+FE0F U+200D U+1F525,69709,U+2764 U+FE0F U+200D U+1F525,❤️‍🔥,heart on fire,13.1,Smileys & Emotion,heart,fully-qualified
😇,U+1F607,69218,U+1F607,😇,smiling face with halo,1.0,Smileys & Emotion,face-smiling,fully-qualified
🏳️‍🌈,U+1F3F3 U+FE0F U+200D U+1F308,69062,U+1F3F3 U+FE0F U+200D U+1F308,🏳️‍🌈,rainbow flag,4.0,Flags,flag,fully-qualified
🌹,U+1F339,69062,U+1F339,🌹,rose,0.6,Animals & Nature,plant-flower,fully-qualified
🤠,U+1F920,68588,U+1F920,🤠,cowboy hat face,3.0,Smileys & Emotion,face-hat,fully-qualified
🎆,U+1F386,68429,U+1F386,🎆,fireworks,0.6,Activities,event,fully-qualified
🎟️,U+1F39F U+FE0F,68034,U+1F39F U+FE0F,🎟️,admission tickets,0.7,Activities,event,fully-qualified
🌔,U+1F314,67640,U+1F314,🌔,waxing gibbous moon,0.6,Travel & Places,sky & weather,fully-qualified
👅,U+1F445,67513,U+1F445,👅,tongue,0.6,People & Body,body-parts,fully-qualified
🟡,U+1F7E1,67395,U+1F7E1,🟡,yellow circle,12.0,Symbols,geometric,fully-qualified
🤗,U+1F917,67134,U+1F917,🤗,smiling face with open hands,1.0,Smileys & Emotion,face-hand,fully-qualified
😛,U+1F61B,66974,U+1F61B,😛,face with tongue,1.0,Smileys & Emotion,face-tongue,fully-qualified
😲,U+1F632,66376,U+1F632,😲,astonished face,0.6,Smileys & Emotion,face-concerned,fully-qualified
😢,U+1F622,66315,U+1F622,😢,crying face,0.6,Smileys & Emotion,face-concerned,fully-qualified
📺,U+1F4FA,66287,U+1F4FA,📺,television,0.6,Objects,light & video,fully-qualified
😩,U+1F629,65449,U+1F629,😩,weary face,0.6,Smileys & Emotion,face-concerned,fully-qualified
🎧,U+1F3A7,65134,U+1F3A7,🎧,headphone,0.6,Objects,music,fully-qualified
❤️‍🩹,U+2764 U+FE0F U+200D U+1FA79,63992,U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹,mending heart,13.1,Smileys & Emotion,heart,fully-qualified
🔫,U+1F52B,63936,U+1F52B,🔫,water pistol,0.6,Activities,game,fully-qualified
🍎,U+1F34E,63882,U+1F34E,🍎,red apple,0.6,Food & Drink,food-fruit,fully-qualified
⚔️,U+2694 U+FE0F,62393,U+2694 U+FE0F,⚔️,crossed swords,1.0,Objects,tool,fully-qualified
